[12-Aug-2021 17:26:21 UTC] PHP Parse error:  syntax error, unexpected 'get_template_part' (T_STRING) in C:\xampp\htdocs\deafsask\wp-content\themes\deafsask\front-page.php on line 4
[12-Aug-2021 19:47:04 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:47:04 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:47:13 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:47:13 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:52:30 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:52:30 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:52:58 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:52:58 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:57:03 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
[12-Aug-2021 19:57:03 UTC] PHP Deprecated:  block_categories is <strong>deprecated</strong> since version 5.8.0! Use block_categories_all instead. in C:\xampp\htdocs\deafsask\wp-includes\functions.php on line 5458
